dA 67,dA 80,dA 113,label
-0.021346,-0.010081,0.04285,1
-0.019276,-0.010934,0.031035,1
-0.001972,-0.005625,0.005778,1
-0.018262,-0.011314,0.026688,1
-0.018321,-0.014798,0.019632,1
-0.013753,-0.010599,0.005742,1
-0.010168,-0.009259,0.010689,1
-0.015016,-0.012989,0.028429,1
-0.015016,-0.012989,0.028429,1
-0.008808,-0.008632,0.007107,1
-0.012328,-0.006107,0.029693,1
-0.022144,-0.009404,0.025771,1
-0.022144,-0.009404,0.025771,1
-0.02237,-0.012106,0.012737,1
-0.019031,-0.009098,0.020283,1
-0.015512,-0.012277,0.002382,1
-0.017044,-0.008179,0.029719,1
-0.022243,-0.014239,0.002365,1
-0.022243,-0.014239,0.002365,1
-0.015593,-0.010781,0.009111,1
-0.023915,-0.00933,0.033682,1
-0.002757,-0.00225,0.019868,1
-0.019935,-0.007186,0.039082,0
-0.022247,-0.008429,0.037225,1
-0.012575,-0.00531,0.03134,1
-0.010566,-0.005923,0.012554,1
-0.02145,-0.009788,0.03432,1
-0.01364,-0.009924,0.020257,1
-0.011179,-0.003437,0.036029,1
-0.01611,-0.006602,0.027364,1
-0.008979,-0.002911,0.024924,1
-0.008979,-0.002911,0.024924,1
-0.016676,-0.005776,0.027978,1
-0.013379,-0.004254,0.023295,1
-0.016566,-0.005563,0.034745,1
-0.01354,-0.004809,0.02917,0
-0.00394,-0.003036,0.012387,1
-0.013676,-0.004901,0.030519,1
-0.019616,-0.007496,0.023879,1
-0.017146,-0.00616,0.026437,1
-0.011119,-0.005876,0.031145,1
-0.020208,-0.009298,0.02863,1
-0.016766,-0.010234,0.00505,1
-0.022877,-0.009417,0.027788,1
-0.026451,-0.014593,0.017927,1
-0.026451,-0.014593,0.017927,1
-0.018196,-0.007196,0.024801,1
-0.012942,-0.004431,0.002411,1
-0.016718,-0.0082,0.019661,1
-0.026783,-0.01507,0.037463,1
-0.025348,-0.018514,0.01892,1
-0.025242,-0.018054,0.025124,1
-0.025242,-0.018054,0.025124,1
-0.028129,-0.016117,0.022016,1
-0.029728,-0.012781,0.028683,1
-0.032896,-0.016645,0.003997,1
-0.032896,-0.016645,0.003997,1
-0.030777,-0.012871,0.024354,1
-0.029247,-0.018752,0.026264,1
-0.017538,-0.006727,0.037016,0
-0.018368,-0.006261,0.035165,0
-0.014684,-0.007147,0.034782,0
-0.021578,-0.008771,0.04459,0
-0.022294,-0.008433,0.045822,0
-0.026949,-0.008642,0.048744,0
-0.015933,-0.005257,0.040352,0
-0.014197,-0.006933,0.043102,0
-0.023026,-0.009105,0.017545,0
-0.020795,-0.007868,0.048822,0
-0.0184,-0.006055,0.03967,0
-0.0184,-0.006055,0.03967,0
-0.036097,-0.010673,0.044117,0
-0.03767,-0.010795,0.046848,0
-0.032804,-0.010581,0.041958,0
0.000146,0.000813,0.013761,1
-0.022737,-0.008061,0.028723,1
-0.00336,0.002281,0.004131,1
-0.006793,-0.005009,0.011982,1
-0.0117,-0.005541,0.008302,1
-0.008042,-0.005527,0.016324,1
-0.002343,-0.001767,0.006986,1
-0.015691,-0.007185,0.031241,1
-0.015532,-0.008941,0.019351,1
-0.023822,-0.007555,0.032683,1
-0.017799,-0.005102,0.03025,1
-0.017001,-0.004553,0.030271,1
-0.024046,-0.008375,0.038633,0
-0.006976,-0.004635,0.002283,1
-0.018674,-0.00715,0.030564,1
-0.014311,-0.005928,0.019105,1
-0.014876,-0.006419,0.028338,1
-0.009257,-0.004128,0.004404,1
-0.009257,-0.004128,0.004404,1
-0.009044,-0.003702,0.000998,1
-0.009044,-0.003702,0.000998,1
-0.01341,-0.004831,0.036109,1
-0.010093,-0.000697,0.014351,1
-0.010064,-0.001458,0.02104,1
-0.006162,-0.002788,0.023085,1
-0.008698,-0.003016,0.018665,1
-0.007893,-0.002133,0.036758,1
-0.007939,-0.002242,0.021641,1
-0.012521,-0.003917,0.039799,1
0.002401,0.006113,0.008393,1
-0.006289,-0.000688,0.024174,1
-0.010248,-0.004976,0.032638,1
-0.0089,-0.002873,0.030888,1
-0.010563,-0.003532,0.03326,1
-0.017838,-0.006368,0.029603,1
-0.008204,-0.000128,0.002543,1
-0.014883,-0.006988,0.033212,1
-0.007769,-0.002153,0.02075,1
-0.011036,-0.004002,0.035854,1
-0.01141,-0.005878,0.025428,1
-0.017844,-0.011485,0.013385,1
-0.017398,-0.008248,0.026201,1
-0.015128,-0.0071,0.033609,1
-0.010849,-0.008501,0.010457,1
-0.006925,-0.004538,0.007225,1
-0.02211,-0.011937,0.028883,1
-0.022177,-0.009608,0.036642,1
-0.032243,-0.013158,0.036468,1
-0.030216,-0.011896,0.033634,1
-0.011951,-0.003683,0.038232,0
-0.016261,-0.005571,0.036563,0
-0.014543,-0.005905,0.031755,0
-0.013597,-0.004033,0.033977,0
-0.016692,-0.005125,0.036251,0
-0.02005,-0.006301,0.032226,0
-0.013252,-0.004881,0.044112,0
-0.014222,-0.005446,0.025578,0
-0.012149,-0.003455,0.042443,0
-0.01359,-0.003783,0.035381,0
-0.012867,-0.002143,0.026719,0
-0.011074,-0.003415,0.032757,0
-0.011263,-0.00371,0.040429,0
-0.004696,-0.000011,0.002619,1
-0.003393,-0.00015,0.009997,1
-0.004895,-0.000303,0.019897,1
-0.010238,-0.003227,0.029427,1
-0.007242,-0.002054,0.005529,1
-0.008712,-0.002307,0.032515,1
-0.0047,0.000182,0.033657,1
-0.008408,-0.002737,0.031036,1
-0.005059,-0.002325,0.023531,1
-0.010457,-0.003217,0.030045,1
-0.009377,-0.005745,0.022411,1
-0.0096,-0.003049,0.037903,1
