dA 81,dA 217,ddA 111,label
-0.001815,-0.001335,0.00653,1
-0.000849,0.005007,0.005117,1
-0.003843,0.002092,0.006778,1
-0.004273,0.000035,0.005552,1
-0.003763,0.00023,0.005494,1
-0.000991,0.00197,0.004313,1
-0.004882,-0.001116,0.008939,0
-0.005017,-0.002655,0.008674,0
-0.005152,0.0006,0.008024,0
-0.004733,0.003258,0.006659,0
-0.004461,0.002472,0.006784,0
-0.004142,0.002406,0.00723,0
-0.003911,0.001675,0.006446,0
-0.004947,-0.000248,0.008416,0
-0.004158,0.001466,0.006465,0
-0.003746,0.003266,0.006416,0
-0.004894,0.005471,0.006998,0
-0.004939,0.000418,0.008713,0
-0.004495,-0.000377,0.00703,0
-0.005101,0.000532,0.00402,0
-0.005006,0.001166,0.008215,0
-0.004142,0.001651,0.006598,0
-0.004693,0.001837,0.007321,0
-0.003775,0.001825,0.006851,0
-0.003098,0.001505,0.004971,1
-0.005164,0.000707,0.008249,1
-0.004725,0.000965,0.008497,0
-0.005524,0.00047,0.008581,0
-0.00396,0.002578,0.007505,0
-0.003408,0.000773,0.007008,0
-0.004823,0.00077,0.009127,0
-0.00527,0.000043,0.005067,0
-0.002991,0.002506,0.003992,1
-0.004609,0.001798,0.009133,1
-0.004035,0.000923,0.006797,0
-0.003452,0.001274,0.007178,1
-0.00455,0.004979,0.006856,1
-0.00455,0.004979,0.006856,1
-0.002416,0.002816,0.005276,1
-0.002717,0.001917,0.007212,0
-0.004184,0.001399,0.007204,0
-0.004184,0.001399,0.007204,0
-0.005311,0.002877,0.007609,1
-0.004978,0.003125,0.005319,1
-0.003748,0.0029,0.004712,1
-0.001986,0.00279,-0.001016,1
-0.001908,0.00065,0.00341,1
-0.002089,0.004784,0.00629,1
0.000773,0.001914,-0.003043,1
-0.004741,0.00197,0.008136,0
-0.000635,0.000909,0.00709,0
-0.001087,0.006412,0.006334,0
-0.001515,-0.000207,0.007968,0
-0.002143,0.003621,0.008167,0
-0.002617,0.002431,0.007161,0
-0.002129,0.003416,0.007471,0
-0.001016,0.000455,0.005659,0
-0.001147,0.008369,0.007861,0
-0.001807,0.001735,0.00931,0
-0.001745,0.003601,0.007832,0
-0.001745,0.003601,0.007832,0
-0.002138,0.002862,0.007287,0
-0.00104,0.004303,0.007083,0
0.001105,-0.001692,0.00613,1
0.001036,-0.003335,0.007379,1
0.000865,-0.001531,0.006011,1
0.001666,0.001953,0.003871,1
0.00129,0.002145,0.004362,1
0.003711,0.004121,0.004315,1
0.001161,-0.001464,0.006268,0
-0.000379,-0.003683,0.007349,0
0.003146,0.002855,0.001856,1
0.002834,-0.001819,0.005101,1
0.001306,-0.000559,0.007247,1
0.000362,0.002513,0.00649,0
0.001391,0.001187,0.003328,1
0.000036,0.001177,0.006889,0
0.002305,0.003481,0.00278,1
0.003063,-0.003642,0.004541,1
0.004665,0.000516,0.002868,1
0.004665,0.000516,0.002868,1
0.000633,0.001467,0.005916,1
0.00403,0.002421,0.003587,1
0.00356,0.003486,0.002942,1
0.007793,-0.000935,0.002127,1
0.007024,0.001905,0.003611,1
0.003993,0.000397,0.003767,1
0.006429,0.003589,0.002046,1
0.005633,0.004517,0.001377,1
0.018203,0.002101,-0.001296,1
